text,category,author,timestamp
"Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to wheezing, shortness of breath, chest tightness, and coughing.",Disease,,
"Diabetes Mellitus is a metabolic disease causing high blood sugar levels. Type 1 occurs when the body doesn't produce insulin, while Type 2 results from insulin resistance.",Disease,,
"Hypertension, or high blood pressure, is a common condition where the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease.",Disease,,
"Myocardial Infarction, commonly known as a heart attack, occurs when blood flow to a part of the heart is blocked for a long enough time that muscle tissue becomes damaged.",Disease,,
"Chronic Obstructive Pulmonary Disease (COPD) is a group of progressive lung diseases that block airflow and make it difficult to breathe, including emphysema and chronic bronchitis.",Disease,,
"Migraine is a severe type of headache, often characterized by a throbbing sensation on one side of the head, accompanied by nausea, vomiting, and extreme sensitivity to light and sound.",Disease,,
"Arthritis is an inflammation of the joints, causing pain, swelling, and stiffness. Osteoarthritis and rheumatoid arthritis are common forms.",Disease,,
"Pneumonia is an infection that inflames air sacs in one or both lungs, which may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing.",Disease,,
"Stroke occurs when the blood supply to part of your brain is interrupted or severely reduced, depriving brain tissue of oxygen and nutrients. Brain cells begin to die in minutes.",Disease,,
"Depression is a mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and behave and can lead to a variety of emotional and physical problems.",Disease,,
"Appendicitis is an inflammation of the appendix, a finger-shaped pouch that projects from your colon on the lower right side of your abdomen. It typically causes pain in the lower right abdomen.",Disease,,
Kidney Stones are hard deposits made of minerals and salt that form inside your kidneys. They can cause severe pain when passing through the urinary tract.,Disease,,
"Gastroesophageal Reflux Disease (GERD) is a chronic digestive disease where stomach acid or bile flows back into the food pipe (esophagus), irritating the lining.",Disease,,
"Hypothyroidism is a condition in which your thyroid gland doesn't produce enough of certain crucial hormones, leading to symptoms like fatigue, weight gain, and cold sensitivity.",Disease,,
"Influenza, commonly known as the flu, is a contagious respiratory illness caused by influenza viruses that infect the nose, throat, and sometimes the lungs, leading to fever, cough, sore throat, and body aches.",Disease,,
Metformin is an oral medication primarily used to lower blood sugar levels in people with type 2 diabetes by decreasing glucose production in the liver and improving insulin sensitivity.,Medicine,,
"Paracetamol (Acetaminophen) is a common pain reliever and fever reducer, widely used for mild to moderate pain and fever.",Medicine,,
"Amoxicillin is an antibiotic used to treat a wide range of bacterial infections, including those of the ears, nose, throat, skin, and urinary tract.",Medicine,,
"Aspirin is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve pain, reduce fever, and reduce inflammation. It's also used to prevent blood clots in cardiovascular conditions.",Medicine,,
"Salbutamol (Albuterol) is a short-acting beta-agonist bronchodilator used to relieve symptoms of asthma and COPD, such as wheezing and shortness of breath, by relaxing airway muscles.",Medicine,,
Insulin is a hormone produced by the pancreas that helps control blood sugar. It's administered as a medication to people with diabetes (Type 1 and some Type 2) to manage their glucose levels.,Medicine,,
"Lisinopril is an ACE inhibitor used to treat high blood pressure and heart failure. It works by relaxing blood vessels, allowing blood to flow more easily.",Medicine,,
"Ibuprofen is an NSAID used for reducing fever and treating pain or inflammation caused by many conditions such as headache, dental pain, arthritis, menstrual cramps, or minor injuries.",Medicine,,
"Atorvastatin is a statin medication used to lower 'bad' cholesterol (LDL) and triglycerides, and to raise 'good' cholesterol (HDL) levels, reducing the risk of heart disease.",Medicine,,
"Prednisone is a corticosteroid used to treat a wide variety of conditions, including allergic disorders, skin conditions, ulcerative colitis, arthritis, lupus, and breathing disorders.",Medicine,,
"Gabapentin is an anticonvulsant and neuropathic pain agent primarily used to treat neuropathic pain caused by damaged nerves, and sometimes as an adjunct for seizures.",Medicine,,
"Warfarin is an anticoagulant (blood thinner) used to treat and prevent blood clots, reducing the risk of stroke, heart attack, and other conditions.",Medicine,,
"Sertraline is an antidepressant of the SSRI class, prescribed for depression, obsessive-compulsive disorder, panic disorder, and social anxiety disorder.",Medicine,,
"Loratadine is an antihistamine used to relieve allergy symptoms such as sneezing, runny nose, watery eyes, and itchy throat or eyes.",Medicine,,
"Furosemide is a loop diuretic ('water pill') that prevents your body from absorbing too much salt, allowing the salt to instead be passed in your urine. It treats fluid retention (edema) in people with heart failure, liver disease, or kidney disorder.",Medicine,,
"Patient, a 55-year-old male, presented with sudden onset of severe chest pain radiating to his left arm and jaw. ECG showed ST-segment elevation. Diagnosed with Myocardial Infarction. Administered Aspirin and Nitroglycerin.",Case Study,,
"A 30-year-old female reported chronic fatigue, unexplained weight gain, and increased sensitivity to cold. Blood tests confirmed elevated TSH levels. Diagnosed with Hypothyroidism. Started on Levothyroxine replacement therapy.",Case Study,,
"45-year-old female presented with frequent urination, excessive thirst, and blurred vision for several weeks. Fasting blood glucose was 250 mg/dL. Diagnosed with Type 2 Diabetes Mellitus. Commenced on Metformin.",Case Study,,
"Patient, 6-year-old child, presented with high fever, sore throat, and swollen tonsils with white spots. Rapid strep test was positive. Diagnosed with Bacterial Pharyngitis (Strep Throat). Prescribed Amoxicillin.",Case Study,,
"A 68-year-old male reported difficulty swallowing and a persistent cough, especially after meals. Endoscopy revealed irritation in the esophagus. Diagnosed with Gastroesophageal Reflux Disease (GERD). Advised Omeprazole.",Case Study,,
"Patient, a 70-year-old male, presented with confusion and lethargy following a fall. CT scan revealed a subdural hematoma. Diagnosed with Traumatic Brain Injury. Monitored in ICU, no specific medication beyond supportive care.",Case Study,,
"A 40-year-old male complained of sudden, intense pain in his big toe, which was red, swollen, and tender to touch. Uric acid levels were elevated. Diagnosed with Gout. Treated with Allopurinol for long-term management.",Case Study,,
"Patient, 18-year-old male, reported a sudden, sharp pain in his lower back radiating down his leg. MRI showed a herniated lumbar disc. Diagnosed with Sciatica. Managed with Ibuprofen and physical therapy.",Case Study,,
"A 50-year-old female presented with numbness and tingling sensations in her hands and feet, along with muscle weakness. Nerve conduction studies confirmed nerve damage. Diagnosed with Peripheral Neuropathy. Started on Gabapentin.",Case Study,,
"Patient, 22-year-old female, experienced recurrent episodes of bloating, abdominal pain, and alternating diarrhea and constipation. Colonoscopy was normal. Diagnosed with Irritable Bowel Syndrome (IBS). Advised dietary changes and symptomatic relief.",Case Study,,
"A 75-year-old male presented with a history of recurrent dizzy spells and a feeling of spinning, sometimes with nausea. ENT evaluation suggested inner ear disorder. Diagnosed with Benign Paroxysmal Positional Vertigo (BPPV). Advised Brandt-Daroff exercises.",Case Study,,
